"U:0","U:1","U:2","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.31842e-004,-8.25932e-009,0.00000e+000,1.00001e+000,1,4.70000e-001,5.00000e-001,4.70000e-001,5.00000e-002
8.33894e-004,-5.54751e-009,0.00000e+000,1.00001e+000,1,4.80000e-001,5.00000e-001,4.80000e-001,5.00000e-002
8.34578e-004,-2.77375e-009,0.00000e+000,1.00001e+000,1,4.90000e-001,5.00000e-001,4.90000e-001,5.00000e-002
8.35262e-004,-2.22045e-016,0.00000e+000,1.00001e+000,1,5.00000e-001,5.00000e-001,5.00000e-001,5.00000e-002
8.34578e-004,2.77375e-009,0.00000e+000,1.00001e+000,1,5.10000e-001,5.00000e-001,5.10000e-001,5.00000e-002
8.33894e-004,5.54751e-009,0.00000e+000,1.00001e+000,1,5.20000e-001,5.00000e-001,5.20000e-001,5.00000e-002
8.31842e-004,8.25931e-009,0.00000e+000,1.00001e+000,1,5.30000e-001,5.00000e-001,5.30000e-001,5.00000e-002
8.29790e-004,1.09711e-008,0.00000e+000,1.00001e+000,1,5.40000e-001,5.00000e-001,5.40000e-001,5.00000e-002
8.26371e-004,1.35607e-008,0.00000e+000,1.00001e+000,1,5.50000e-001,5.00000e-001,5.50000e-001,5.00000e-002
8.22953e-004,1.61503e-008,0.00000e+000,1.00001e+000,1,5.60000e-001,5.00000e-001,5.60000e-001,5.00000e-002
8.18168e-004,1.85608e-008,0.00000e+000,1.00001e+000,1,5.70000e-001,5.00000e-001,5.70000e-001,5.00000e-002
8.13384e-004,2.09712e-008,0.00000e+000,1.00001e+000,1,5.80000e-001,5.00000e-001,5.80000e-001,5.00000e-002
8.07235e-004,2.31504e-008,0.00000e+000,1.00001e+000,1,5.90000e-001,5.00000e-001,5.90000e-001,5.00000e-002
8.01087e-004,2.53296e-008,0.00000e+000,1.00001e+000,1,6.00000e-001,5.00000e-001,6.00000e-001,5.00000e-002
7.93576e-004,2.72315e-008,0.00000e+000,1.00001e+000,1,6.10000e-001,5.00000e-001,6.10000e-001,5.00000e-002
7.86066e-004,2.91335e-008,0.00000e+000,1.00001e+000,1,6.20000e-001,5.00000e-001,6.20000e-001,5.00000e-002
7.77196e-004,3.07196e-008,0.00000e+000,1.00001e+000,1,6.30000e-001,5.00000e-001,6.30000e-001,5.00000e-002
7.68326e-004,3.23057e-008,0.00000e+000,1.00001e+000,1,6.40000e-001,5.00000e-001,6.40000e-001,5.00000e-002
7.58100e-004,3.35455e-008,0.00000e+000,1.00001e+000,1,6.50000e-001,5.00000e-001,6.50000e-001,5.00000e-002
7.47874e-004,3.47853e-008,0.00000e+000,1.00001e+000,1,6.60000e-001,5.00000e-001,6.60000e-001,5.00000e-002
7.36294e-004,3.56572e-008,0.00000e+000,1.00001e+000,1,6.70000e-001,5.00000e-001,6.70000e-001,5.00000e-002
7.24715e-004,3.65292e-008,0.00000e+000,1.00001e+000,1,6.80000e-001,5.00000e-001,6.80000e-001,5.00000e-002
7.11786e-004,3.70209e-008,0.00000e+000,1.00001e+000,1,6.90000e-001,5.00000e-001,6.90000e-001,5.00000e-002
6.98857e-004,3.75126e-008,0.00000e+000,1.00001e+000,1,7.00000e-001,5.00000e-001,7.00000e-001,5.00000e-002
6.84582e-004,3.76210e-008,0.00000e+000,1.00001e+000,1,7.10000e-001,5.00000e-001,7.10000e-001,5.00000e-002
6.70306e-004,3.77293e-008,0.00000e+000,1.00001e+000,1,7.20000e-001,5.00000e-001,7.20000e-001,5.00000e-002
6.54689e-004,3.74603e-008,0.00000e+000,1.00001e+000,1,7.30000e-001,5.00000e-001,7.30000e-001,5.00000e-002
6.39071e-004,3.71914e-008,0.00000e+000,1.00001e+000,1,7.40000e-001,5.00000e-001,7.40000e-001,5.00000e-002
6.22115e-004,3.65600e-008,0.00000e+000,1.00001e+000,1,7.50000e-001,5.00000e-001,7.50000e-001,5.00000e-002
6.05159e-004,3.59286e-008,0.00000e+000,1.00001e+000,1,7.60000e-001,5.00000e-001,7.60000e-001,5.00000e-002
